time,Compression Type,Page Size,Cluster Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-15_14:58:43,lz4,524288,20971520,2,False,7.44,0.55,33.008,-11.226,1097420857,1416.024,498887.6,1416.0,1396.6,1423.2,1413.6,1413.9,1425.3,1412.6,1420.5,1422.8,1415.7,496864.0,497388.0,497744.0,513780.0,497156.0,497568.0,497416.0,496832.0,497344.0,496784.0
23-06-15_14:59:36,lz4,524288,20971520,2,False,7.21,0.55,32.264,-11.194,1097420857,1408.100,498747.6,1433.7,1412.4,1414.5,1419.0,1388.0,1322.0,1421.7,1423.8,1417.4,1428.6,497412.0,497032.0,497252.0,497152.0,496432.0,496936.0,496720.0,496952.0,514508.0,497080.0
23-06-15_15:00:28,lz4,524288,31457280,1,False,10.48,0.51,31.205,-0.285,1097845581,1396.829,449816.0,1374.5,1403.2,1393.6,1402.2,1405.3,1405.1,1405.4,1379.4,1403.8,1395.9,448452.0,450236.0,450068.0,450012.0,450064.0,449680.0,449392.0,450368.0,450276.0,449612.0
23-06-15_15:01:21,lz4,524288,20971520,2,False,7.34,0.55,32.739,-11.279,1097420857,1413.156,499128.0,1389.9,1416.9,1406.8,1402.5,1397.0,1420.0,1410.3,1399.3,1477.9,1410.9,497192.0,497420.0,497360.0,497244.0,497576.0,497460.0,497232.0,497736.0,514756.0,497304.0
23-06-15_15:02:14,lz4,1048576,20971520,1,False,10.08,0.61,35.520,-5.887,1096766788,1442.760,474942.0,1420.6,1436.4,1459.3,1456.2,1466.7,1441.2,1445.8,1435.0,1431.0,1435.5,500784.0,484468.0,449544.0,465360.0,449640.0,468776.0,467732.0,481628.0,466384.0,515104.0
23-06-15_15:03:08,lz4,524288,20971520,2,False,6.33,0.55,29.960,-11.527,1097420857,1383.576,500241.6,1391.5,1359.1,1389.0,1398.0,1397.2,1391.0,1286.2,1371.1,1435.4,1417.2,496444.0,497256.0,497556.0,496564.0,513660.0,497016.0,513868.0,496484.0,497128.0,496440.0
23-06-15_15:04:01,lz4,524288,20971520,2,False,6.58,0.55,30.708,-11.531,1097420857,1391.534,500258.0,1381.2,1407.7,1417.2,1413.5,1302.1,1319.3,1421.4,1403.7,1442.4,1406.7,514256.0,497044.0,496864.0,513552.0,496492.0,496308.0,497272.0,496892.0,497876.0,496024.0
23-06-15_15:04:54,lz4,262144,20971520,1,False,12.69,0.40,30.923,6.759,1099054779,1393.824,418221.6,1405.7,1408.4,1406.0,1413.2,1389.2,1383.4,1393.3,1361.0,1386.7,1391.1,418340.0,418224.0,418408.0,418432.0,418716.0,417952.0,418512.0,418136.0,417704.0,417792.0
23-06-15_15:05:47,lz4,1048576,20971520,1,False,9.83,0.61,34.970,-6.086,1096766788,1436.909,475832.8,1454.9,1448.3,1453.6,1449.5,1410.0,1421.0,1442.4,1429.8,1431.1,1428.6,468020.0,466184.0,466380.0,464604.0,465724.0,495864.0,466236.0,483216.0,484260.0,497840.0
23-06-15_15:06:41,lz4,1048576,20971520,1,False,10.29,0.61,35.685,-5.416,1096766788,1444.525,472827.6,1455.4,1444.2,1441.1,1458.8,1433.5,1449.2,1402.0,1447.7,1443.7,1469.4,450720.0,467632.0,466200.0,467272.0,480908.0,450452.0,480880.0,497576.0,466608.0,500028.0
