time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-20_05:54:54,zstd,419430400,8388608,1,False,40.02,39.52,98.706,-18.161,1394823743,1139.949,465288.4,1143.1,1147.2,1107.4,1151.7,1133.2,1143.9,1149.9,1139.9,1158.1,1125.0,465640.0,465140.0,465392.0,465256.0,465396.0,465000.0,465228.0,465136.0,465448.0,465248.0
23-06-20_05:56:51,zstd,314572800,8388608,2,False,40.30,39.52,103.441,-22.055,1394823743,1167.113,480621.2,1175.0,1164.2,1161.3,1176.7,1171.5,1171.4,1154.1,1155.3,1175.1,1166.7,480736.0,480468.0,480752.0,480900.0,480900.0,480844.0,479860.0,480588.0,480464.0,480700.0
23-06-20_05:58:49,zstd,314572800,8388608,2,False,40.32,39.52,103.482,-22.031,1394823743,1167.348,480527.6,1152.1,1170.1,1141.8,1172.4,1170.5,1170.3,1184.1,1161.7,1178.3,1172.2,480620.0,480560.0,479880.0,480240.0,480672.0,480568.0,479988.0,480944.0,480664.0,481140.0
23-06-20_06:00:51,zstd,209715200,8388608,1,False,30.10,31.64,72.967,-14.308,1576546074,992.286,450116.0,1002.0,993.8,998.0,977.0,1000.0,999.4,989.8,992.1,1002.5,968.2,449536.0,449748.0,450388.0,450676.0,450280.0,450408.0,450200.0,450188.0,449364.0,450372.0
23-06-20_06:02:48,zstd,419430400,8388608,1,True,40.55,39.52,100.273,-18.135,1394823743,1148.934,465187.2,1135.9,1151.1,1149.8,1149.0,1144.3,1150.6,1148.0,1143.3,1149.1,1168.3,465180.0,465176.0,465128.0,465340.0,465152.0,464888.0,465428.0,465052.0,464884.0,465644.0
23-06-20_06:04:45,zstd,314572800,8388608,1,True,40.44,39.52,99.936,-18.132,1394823743,1147.003,465172.4,1160.3,1159.0,1137.5,1135.7,1143.4,1124.6,1139.4,1153.4,1161.1,1155.6,464968.0,465280.0,465084.0,465488.0,465436.0,465176.0,465048.0,465296.0,464908.0,465040.0
23-06-20_06:06:49,zstd,314572800,16777216,1,False,15.39,-17.67,77.263,-13.420,2713925432,1016.933,446618.4,998.7,1015.0,1021.0,1022.9,1019.2,1017.1,1017.2,1018.8,1026.0,1013.5,446620.0,446280.0,446596.0,446348.0,446044.0,446600.0,447088.0,447016.0,446488.0,447104.0
23-06-20_06:08:46,zstd,314572800,8388608,2,True,39.80,39.52,101.883,-22.016,1394823743,1158.175,480470.0,1165.2,1159.4,1167.6,1163.9,1124.9,1171.3,1136.1,1172.5,1159.4,1161.5,480308.0,480868.0,480660.0,480940.0,480296.0,480472.0,479444.0,480952.0,480376.0,480384.0
23-06-20_06:10:50,zstd,209715200,8388608,2,False,31.86,31.64,84.555,-20.631,1576546074,1058.766,475015.2,1064.0,1036.0,1037.5,1049.2,1058.4,1070.6,1067.5,1082.2,1064.7,1057.5,475448.0,473748.0,473164.0,474884.0,475560.0,475552.0,475240.0,475804.0,475400.0,475352.0
23-06-20_06:12:54,zstd,209715200,8388608,2,False,31.87,31.64,84.683,-20.724,1576546074,1059.500,475379.2,1065.2,1065.0,1065.0,1058.8,1070.9,1049.8,1050.7,1065.7,1048.8,1055.2,475216.0,475492.0,475200.0,475488.0,475036.0,475668.0,475304.0,475724.0,475096.0,475568.0
